                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7706,                0.86233,                 1.0845,                0.53878,                0.60166,                0.59672,                0.43404,                 1.0252,                 1.1916,                 1.4055,              0.0003268,              0.0003268,              0.0003268
                     36,                0.75415,                0.84432,                  1.091,                0.54996,                0.61933,                0.62653,                0.46853,                 1.0207,                 1.1127,                 1.3833,               0.000307,               0.000307,               0.000307
                     37,                0.75121,                 0.8668,                 1.0881,                0.47989,                0.71061,                0.60858,                 0.4457,                 1.0375,                 1.0942,                 1.4156,              0.0002872,              0.0002872,              0.0002872
                     38,                0.75187,                0.84402,                 1.0819,                0.61621,                0.60772,                0.63892,                0.46088,                 1.0333,                 1.1185,                 1.3981,              0.0002674,              0.0002674,              0.0002674
                     39,                0.73154,                0.78469,                   1.07,                0.48243,                0.68992,                0.61527,                0.45462,                  1.014,                 1.1721,                 1.3785,              0.0002476,              0.0002476,              0.0002476
                     40,                0.73201,                0.79984,                 1.0771,                0.63944,                0.60228,                0.61741,                0.44715,                 1.0446,                 1.1197,                 1.4393,              0.0002278,              0.0002278,              0.0002278
                     41,                0.69828,                0.66305,                 1.0957,                0.64092,                0.59197,                0.68184,                0.50615,                 1.0402,                 1.1082,                 1.4335,               0.000208,               0.000208,               0.000208
                     42,                0.68343,                0.63143,                 1.0816,                0.56217,                0.74762,                0.67278,                0.51274,                 1.0152,                 1.0445,                 1.4034,              0.0001882,              0.0001882,              0.0001882
                     43,                0.67296,                0.62372,                 1.0732,                0.66669,                0.68286,                0.68151,                0.50635,                 1.0562,                  1.003,                 1.4492,              0.0001684,              0.0001684,              0.0001684
                     44,                0.65173,                0.56981,                 1.0515,                0.68062,                0.67371,                0.71103,                0.53416,                 1.0292,                 1.0733,                 1.4204,              0.0001486,              0.0001486,              0.0001486
                     45,                0.64263,                0.56845,                 1.0509,                0.65259,                0.75229,                0.73203,                0.55441,                 1.0535,                 1.0091,                 1.4624,              0.0001288,              0.0001288,              0.0001288
                     46,                0.63804,                0.54626,                 1.0592,                0.78828,                0.70399,                 0.7525,                 0.5615,                 1.0219,                0.99904,                 1.4235,               0.000109,               0.000109,               0.000109
                     47,                0.62172,                0.52493,                 1.0381,                0.70414,                0.73697,                0.74269,                0.55323,                 1.0165,                 1.0055,                  1.422,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.62803,                0.53449,                 1.0328,                0.76911,                0.71813,                0.74981,                0.56625,                  1.025,                0.96705,                 1.4375,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 0.6123,                0.51598,                 1.0223,                0.79295,                0.68982,                0.76132,                0.56927,                 1.0133,                0.95221,                 1.4263,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 0.6057,                0.50981,                 1.0276,                0.83817,                0.67462,                0.76141,                0.57199,                 1.0046,                0.93738,                 1.4148,               2.98e-05,               2.98e-05,               2.98e-05
